age,sex,height,weight,registration_time,correct_choice_id,inference_choice_id
68,female,200,73,11,10,31
64,male,204,63,9,2,27
71,female,168,46,10,16,3
55,male,182,40,13,3,23
56,male,187,72,13,1,1
37,male,208,95,15,17,17
78,female,193,58,1,12,32
17,female,169,99,21,29,17
53,male,191,70,4,2,9
36,male,130,47,23,23,20
75,female,207,92,3,10,31
74,female,171,34,2,12,32
46,female,134,69,17,13,23
72,male,176,34,11,4,8
32,female,195,23,19,27,32
46,female,136,25,24,15,28
66,female,157,48,7,16,28
32,male,154,51,16,23,20
51,female,204,56,11,12,3
77,male,133,99,2,6,18
15,male,131,26,0,24,32
55,female,165,94,17,13,31
80,female,195,91,17,9,11
53,female,183,41,4,12,27
13,female,198,40,23,27,30
49,male,191,41,2,4,23
27,male,166,44,17,23,30
36,female,141,52,1,32,32
43,male,162,65,23,21,17
12,male,165,72,24,21,8
46,male,171,51,19,3,22
43,female,171,91,0,26,29
11,male,144,77,0,22,24
30,male,139,20,17,23,29
72,male,133,47,13,7,23
46,female,187,26,23,11,3
11,male,156,49,19,23,8
54,female,145,66,20,13,18
40,female,149,62,14,29,27
33,male,210,87,13,17,27
20,female,135,69,24,29,32
76,female,163,94,3,14,30
39,female,174,44,14,27,12
32,female,176,75,14,25,29
65,female,157,47,13,15,31
27,female,197,59,14,27,30
36,male,183,58,18,19,19
30,female,138,70,5,30,2
22,female,141,90,8,30,30
34,female,187,75,19,25,29
27,female,184,32,11,28,28
48,male,192,73,6,2,25
69,female,163,72,7,14,15
14,male,152,92,8,22,32
19,female,196,81,1,26,10
56,female,172,41,23,11,31
14,female,183,88,1,26,32
36,male,206,51,23,19,27
72,female,205,26,11,12,31
43,female,177,92,20,25,11
46,female,189,21,5,12,30
35,male,189,35,14,19,21
26,male,193,24,16,19,28
13,male,200,30,2,20,24
77,male,191,79,19,1,9
47,female,168,59,22,15,31
50,male,186,93,9,2,17
19,female,194,62,8,26,17
35,male,153,52,21,23,15
23,female,140,38,0,32,32
28,male,194,20,11,20,20
13,male,138,54,5,24,16
17,female,188,32,15,27,32
11,male,134,49,18,23,24
72,male,193,94,7,2,17
12,male,182,100,1,18,24
23,male,153,99,13,21,24
14,female,210,67,10,26,32
39,female,139,79,21,29,14
49,male,159,27,19,7,29
55,female,155,97,22,13,15
53,male,134,74,22,5,3
67,female,164,74,10,14,23
68,male,206,72,20,1,23
64,male,145,26,9,8,29
40,male,144,45,18,23,31
16,female,135,94,0,30,32
71,female,201,96,11,10,31
21,male,173,99,23,17,2
35,female,141,99,13,29,23
43,male,133,63,22,21,2
40,male,182,37,6,20,24
35,female,140,27,11,32,28
37,male,182,43,10,20,9
15,female,138,27,0,32,32
62,male,141,41,19,7,15
60,female,148,100,4,14,23
31,male,155,63,8,22,18
44,female,149,65,20,29,31
71,female,187,66,2,10,28
